Summary,Work Type,Issue ID,Parent,Description,Priority,Labels
M1.4 — Crear buscador sintético detrás de un puerto,Task,11,7,"Objetivo:
Conectar el gateway a una fuente sintética mediante un puerto sustituible por el futuro índice local.

Criterios de aceptación:
- El buscador recibe solo fuentes autorizadas.
- Devuelve candidatos deterministas.
- Puede producir 0, 1 o varios candidatos.
- No conoce HTTP ni el servicio remoto.

Pruebas TDD:
- Unit tests del puerto/adaptador.
- Casos 0/1/N candidatos.

Dependencias:
M1.1.

Restricciones de arquitectura:
- El adaptador sintético es infraestructura de test, no dominio.",High,lcia-m1-walking-skeleton
M1.5 — Emitir referencias opacas y minimizar candidatos,Task,12,7,"Objetivo:
Asegurar que todo candidato que abandona el gateway sea reconocible sin revelar rutas o contenido local.

Criterios de aceptación:
- La referencia opaca no contiene una ruta reversible.
- La respuesta remota no incluye texto extraído/OCR/bytes.
- La procedencia presentable es mínima.
- La versión/huella puede correlacionarse sin revelar la ubicación.

Pruebas TDD:
- Test de contrato que inspecciona campos serializados.
- Test que rechaza payload con ruta local en el DTO remoto.

Dependencias:
M1.4.",Highest,lcia-m1-walking-skeleton
M1.6 — Cerrar primer E2E de búsqueda remota,Story,13,7,"Objetivo:
Demostrar el flujo completo con un tenant, un actor, un gateway y una fuente sintética.

Criterios de aceptación:
- La búsqueda se crea en remoto.
- El gateway recibe y ejecuta el trabajo.
- El remoto recibe la contribución.
- El resultado final distingue candidato, ambigüedad y cero resultados.
- No hay rutas ni contenido documental en la frontera remota.

Pruebas TDD:
- E2E happy path.
- E2E varios candidatos.
- E2E cero candidatos.
- E2E gateway no disponible.

Dependencias:
M1.2-M1.5.",Highest,lcia-m1-walking-skeleton
M2 — Fuente local e índice mínimo persistente,Epic,14,,"Objetivo:
Sustituir la fuente sintética por una carpeta registrada y un índice local persistente, todavía centrado en metadatos.

Gate de salida:
Altas, cambios y borrados en una carpeta de prueba se reflejan en búsquedas tras reconciliación; el índice sobrevive a reinicios y ninguna ruta sale del gateway.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",High,lcia-m2-local-index
M2.1 — Registrar una carpeta como fuente local segura,Story,15,14,"Objetivo:
Permitir configurar una raíz local/compartida desde el gateway sin aceptar rutas arbitrarias desde una consulta.

Criterios de aceptación:
- La raíz se configura localmente.
- La fuente queda ligada a tenant/gateway.
- Una consulta no puede cambiar la raíz.
- Escapes por symlink/junction se rechazan o quedan bajo una política explícita.
- Una fuente inválida no se marca como lista.

Pruebas TDD:
- Tests con raíz válida e inválida.
- Test de intento de escape.
- Test de ruta aportada por consulta ignorada como autoridad.

Dependencias:
M1 completo.",Highest,lcia-m2-local-index
M2.2 — Modelar identidad y huella local de documento,Task,16,14,"Objetivo:
Definir cómo el gateway correlaciona una versión observable de un documento sin asumir identidad global.

Criterios de aceptación:
- La identidad queda acotada por tenant, gateway y fuente.
- Existe una huella/version observable.
- Cambio de versión puede detectarse.
- No se usa la ruta como identificador remoto.

Pruebas TDD:
- Tests de misma ruta/cambio de contenido.
- Tests de mismo nombre en dos fuentes.
- Test de dos archivos con mismos bytes conservando identidad local separada si la política así lo dicta.

Dependencias:
M2.1.",High,lcia-m2-local-index
M2.3 — Implementar reconciliación inicial de la fuente,Task,17,14,"Objetivo:
Enumerar la raíz de forma acotada y clasificar altas, cambios, sin cambio, borrados confirmados e indeterminados.

Criterios de aceptación:
- Una reconciliación incompleta no provoca borrados masivos.
- Los fallos por archivo se aíslan.
- El resultado de reconciliación es observable.
- Se puede ejecutar repetidamente de forma idempotente.

Pruebas TDD:
- Tests add/change/delete.
- Test de fuente temporalmente inaccesible.
- Test de archivo que cambia durante el proceso.

Dependencias:
M2.1 y M2.2.",High,lcia-m2-local-index
M2.4 — Persistir índice local de metadatos,Task,18,14,"Objetivo:
Guardar localmente las entradas necesarias para buscar por nombre y metadatos tras reiniciar el gateway.

Criterios de aceptación:
- El índice es persistente.
- Toda entrada incluye tenant/gateway/fuente.
- No se mezcla información entre fuentes.
- El almacenamiento queda detrás de un puerto.

Pruebas TDD:
- Integration test de persistencia/reinicio.
- Test de aislamiento tenant-gateway-fuente.
- Test de migración/esquema inicial.

Dependencias:
M2.2 y M2.3.

Restricciones de arquitectura:
- No introducir una base vectorial.
- La elección técnica debe quedar encapsulada y ser sustituible.",High,lcia-m2-local-index
M2.5 — Buscar por nombre y metadatos en el índice local,Story,19,14,"Objetivo:
Responder consultas usando el índice persistente sin tocar el sistema de archivos en cada búsqueda.

Criterios de aceptación:
- La búsqueda usa únicamente particiones autorizadas.
- El resultado es determinista con las mismas entradas.
- Se limita el número de candidatos.
- La consulta no provoca extracción/OCR.

Pruebas TDD:
- Integration tests de búsqueda.
- Test de filtros por fuente.
- Test de límite de candidatos.

Dependencias:
M2.4.",High,lcia-m2-local-index
M2.6 — Invalidar referencias obsoletas,Task,20,14,"Objetivo:
Hacer que una referencia opaca deje de ser válida ante cambio/borrado/revocación de la versión subyacente.

Criterios de aceptación:
- Cambiar el documento invalida la referencia previa.
- Borrar el documento la invalida.
- La resolución de una referencia stale no revela rutas ni existencia fuera del alcance.
- La nueva versión emite una referencia distinta o equivalente segura.

Pruebas TDD:
- Tests de referencia vigente/stale.
- Test de borrado.
- Test de cambio entre búsqueda y resolución.

Dependencias:
M2.2, M2.4 y M1.5.",Highest,lcia-m2-local-index
M2.7 — E2E de búsqueda sobre carpeta real de prueba,Story,21,14,"Objetivo:
Repetir el walking skeleton usando una carpeta de test y el índice persistente.

Criterios de aceptación:
- Agregar un archivo lo hace recuperable.
- Modificarlo actualiza versión.
- Borrarlo lo retira.
- Reiniciar gateway conserva índice.
- El remoto sigue sin recibir rutas o texto.

Pruebas TDD:
- E2E add/search.
- E2E update/search.
- E2E delete/search.
- E2E restart/search.

Dependencias:
M2.1-M2.6.",Highest,lcia-m2-local-index
M3 — Autorización de dominio y resolución de ámbito,Epic,22,,"Objetivo:
Convertir tenant, membership y source grants en fronteras de seguridad verificadas en remoto y de nuevo en local.

Gate de salida:
Dos tenants y dos actores no pueden observar ni recuperar fuentes cruzadas; el ámbito se resuelve determinísticamente y queda congelado antes de buscar.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",Highest,lcia-m3-authz-scope
"M3.1 — Modelar Actor, Tenant y Membership",Task,23,22,"Objetivo:
Construir el núcleo de identidad interna y pertenencia a tenant sin depender de Auth0.

Criterios de aceptación:
- Actor interno tiene identidad estable.
- Membership tiene estado y rol dentro de un tenant.
- Un actor puede pertenecer a varios tenants.
- Email no es clave de identidad ni prueba de membership.

Pruebas TDD:
- Unit tests de invariantes.
- Test actor con múltiples memberships.
- Test membership revocada.

Dependencias:
M0 completo.

Restricciones de arquitectura:
- Dominio sin Spring Security/Auth0.",Highest,lcia-m3-authz-scope
M3.2 — Modelar SourceGrant y fuente administrable,Task,24,22,"Objetivo:
Separar pertenencia al tenant de autorización sobre fuentes concretas.

Criterios de aceptación:
- Membership no concede acceso documental implícito.
- SourceGrant exige actor/fuente del mismo tenant.
- Retirar grant elimina acceso efectivo.
- tenant_admin no obtiene acceso documental por rol.

Pruebas TDD:
- Unit tests de grants.
- Test admin sin grant.
- Test grant cross-tenant rechazado.

Dependencias:
M3.1 y M2.1.",Highest,lcia-m3-authz-scope
M3.3 — Implementar contexto de tenant activo,Task,25,22,"Objetivo:
Resolver y revalidar el tenant activo de cada operación sin confiar en datos libres del cliente.

Criterios de aceptación:
- Solo puede activarse una membership vigente.
- Cambiar tenant descarta referencias/resultados sensibles del anterior.
- Tenant de URL/body/header no sustituye el contexto autenticado.
- Contexto revocado falla cerrado.

Pruebas TDD:
- Unit/integration tests tenant activo.
- Test tenant mismatch.
- Test membership revocada durante operación.

Dependencias:
M3.1.",High,lcia-m3-authz-scope
M3.4 — Implementar source scope y collection scope mínimos,Task,26,22,"Objetivo:
Representar el catálogo mínimo de ámbitos confirmado para el MVP.

Criterios de aceptación:
- Cada fuente crea un source scope.
- Collection scope referencia fuentes sin duplicarlas.
- No hay jerarquía ni herencia.
- Una colección solo es elegible si el actor conserva grants para todas sus fuentes.
- Opcionalidad no concede permisos.

Pruebas TDD:
- Unit tests source scope.
- Unit tests collection scope.
- Test colección con grant faltante.

Dependencias:
M3.2.",Medium,lcia-m3-authz-scope
M3.5 — Resolver determinísticamente el menor ámbito autorizado,Story,27,22,"Objetivo:
Integrar las reglas ya caracterizadas en synthetic-retrieval con el dominio real de permisos y scopes.

Criterios de aceptación:
- Las pistas solo reducen/aclaran.
- Un único ámbito válido se congela.
- Varios ámbitos equivalentes generan aclaración.
- Ninguno autorizado produce denegación sin revelar alternativas.
- Multiámbito exige selección explícita.

Pruebas TDD:
- Migrar/caracterizar escenarios sintéticos relevantes.
- Tests de 1/varios/ningún scope.
- Test de hint hacia fuente no autorizada.

Dependencias:
M3.2-M3.4 y M0.2.",Highest,lcia-m3-authz-scope
M3.6 — Revalidar autorización en el gateway local,Task,28,22,"Objetivo:
Hacer que el gateway no confíe ciegamente en una orden autorizada por remoto.

Criterios de aceptación:
- Gateway valida vínculo tenant-gateway.
- Solo busca en fuentes registradas localmente y autorizadas.
- Una orden con fuente ajena se rechaza.
- Revocaciones conocidas se aplican antes de buscar.

Pruebas TDD:
- Integration tests con orden válida/ajena/revocada.
- Test de fuente no registrada.
- Test de tenant mismatch.

Dependencias:
M3.2 y M1.3.",Highest,lcia-m3-authz-scope
M3.7 — Demostrar indistinguibilidad entre tenants,Story,29,22,"Objetivo:
Probar que la existencia de documentos o fuentes de otro tenant no es observable desde un actor no autorizado.

Criterios de aceptación:
- Mismo nombre de documento en dos tenants no cruza resultados.
- Fuentes no asignadas no aparecen en listados/conteos/sugerencias.
- DENIED no incluye candidatos ni detalles sensibles.
- El resultado cross-tenant es indistinguible de la inexistencia según el contrato vigente.

Pruebas TDD:
- E2E con dos tenants y nombres idénticos.
- Tests de respuestas minimizadas.
- Tests de timing solo si existe una diferencia deliberada relevante.

Dependencias:
M3.5 y M3.6.",Highest,lcia-m3-authz-scope
M4 — Autenticación real con Auth0,Epic,30,,"Objetivo:
Sustituir el adaptador de identidad de desarrollo por Auth0 manteniendo LC-IA como autoridad de actor, tenant, roles y grants.

Gate de salida:
Una identidad Auth0 válida resuelve un ActorContext interno; tokens inválidos no crean contexto; la suite de autorización sigue pasando sin trasladar reglas de negocio a Auth0.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",High,lcia-m4-auth0
M4.1 — Configurar Resource Server y validación de token,Task,31,30,"Objetivo:
Validar criptográficamente tokens emitidos para LC-IA con issuer, audience y expiración correctos.

Criterios de aceptación:
- Issuer/audience incorrectos se rechazan.
- Token expirado se rechaza.
- Firma inválida se rechaza.
- No se registran tokens completos en logs.

Pruebas TDD:
- Integration tests de seguridad con tokens válidos e inválidos.
- Test de ausencia de autenticación.

Dependencias:
M3.1 y M0.5.",High,lcia-m4-auth0
M4.2 — Resolver issuer+subject a Actor interno,Task,32,30,"Objetivo:
Mapear una identidad autenticada externa a un actor estable de LC-IA.

Criterios de aceptación:
- La clave externa es issuer/provider + subject.
- Email y móvil son atributos no autoritativos.
- Identidad desconocida no obtiene membership por inferencia.
- Variación de email no crea un actor nuevo si subject es el mismo.

Pruebas TDD:
- Unit tests del resolver.
- Integration test identidad conocida/desconocida.
- Test cambio de email.

Dependencias:
M4.1 y M3.1.",Highest,lcia-m4-auth0
M4.3 — Construir ActorContext desde autenticación y tenant activo,Story,33,30,"Objetivo:
Conectar autenticación real con memberships, roles y source grants del dominio.

Criterios de aceptación:
- ActorContext se deriva del actor interno y membership vigente.
- El tenant activo se revalida.
- Los grants vienen de LC-IA.
- Ningún claim libre sustituye source grants.

Pruebas TDD:
- Integration tests Auth0→ActorContext.
- Cross-tenant test con token válido.
- Test membership suspendida.

Dependencias:
M4.2 y M3.2-M3.3.",Highest,lcia-m4-auth0
M4.4 — Gestionar configuración y secretos de Auth0 por entorno,Task,34,30,"Objetivo:
Externalizar configuración sensible y evitar secretos en repositorio o dominio.

Criterios de aceptación:
- Secrets no están versionados.
- Configuración dev/test/prod está separada.
- Arranque falla de forma explícita si falta configuración obligatoria.
- Logs no exponen client secrets/tokens.

Pruebas TDD:
- Test/config check en CI sin secretos reales.
- Test de arranque fallido con configuración incompleta.

Dependencias:
M4.1.",High,lcia-m4-auth0
M4.5 — Incorporar step-up MFA para operaciones privilegiadas,Task,35,30,"Objetivo:
Preparar el control de MFA reciente para operaciones administrativas del MVP sin convertir Auth0 en autoridad de negocio.

Criterios de aceptación:
- Operación privilegiada sin evidencia MFA suficiente se rechaza.
- La decisión de permiso sigue en LC-IA.
- La evidencia de MFA se valida según el contrato técnico aprobado.
- El comportamiento queda cubierto por tests.

Pruebas TDD:
- Tests de acceso privilegiado con/sin MFA.
- Test de evidencia expirada o insuficiente.

Dependencias:
M4.1-M4.3 y decisión técnica sobre evidencia MFA.

Restricciones de arquitectura:
- No implementar si el contrato exacto ACR/AMR/Actions sigue sin validar; en ese caso el ticket permanece bloqueado explícitamente.",Medium,lcia-m4-auth0
M4.6 — E2E autenticado de búsqueda,Story,36,30,"Objetivo:
Ejecutar el flujo de búsqueda con autenticación real, tenant activo y grants reales.

Criterios de aceptación:
- Token válido + grant permite buscar.
- Token válido sin grant no revela fuente.
- Token de otro tenant no cruza resultados.
- El gateway revalida localmente.

Pruebas TDD:
- E2E autenticado happy path.
- E2E no grant.
- E2E cross-tenant.

Dependencias:
M4.1-M4.4 y M3.6.",Highest,lcia-m4-auth0
"M5 — Protocolo robusto, fan-out y cobertura",Epic,37,,"Objetivo:
Endurecer la comunicación remoto/gateway para una entrega al menos una vez, fan-out paralelo y consolidación COMPLETE/PARTIAL determinista.

Gate de salida:
La suite reproduce duplicados, desconexiones, expiraciones y ausencia de gateways; ninguna cobertura parcial se convierte en falso 'no encontrado'.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",Highest,lcia-m5-protocol-coverage
M5.1 — Versionar protocolo y WorkItem,Task,38,37,"Objetivo:
Formalizar versión compatible del protocolo y las invariantes de un work item.

Criterios de aceptación:
- WorkItem incluye correlación, idempotencia, emisión, expiración, gateway y fuentes.
- Versión incompatible impide ejecutar.
- No contiene rutas, credenciales ni tokens humanos.

Pruebas TDD:
- Contract tests de compatibilidad.
- Test versión incompatible.
- Test de minimización del payload.

Dependencias:
M1.1.",High,lcia-m5-protocol-coverage
M5.2 — Implementar lease y ACK,Task,39,37,"Objetivo:
Separar asignación temporal, recepción y resultado para tolerar desconexiones.

Criterios de aceptación:
- ACK no equivale a éxito.
- Lease expirada permite reentrega controlada.
- La misma operación conserva idempotencia.
- Un resultado tardío se valida contra su contexto.

Pruebas TDD:
- Unit/integration tests de lease.
- Test ACK perdido.
- Test resultado tras lease expirada.

Dependencias:
M5.1 y M1.3.",High,lcia-m5-protocol-coverage
"M5.3 — Implementar anti-replay, expiración e idempotencia",Task,40,37,"Objetivo:
Rechazar órdenes repetidas fuera de política y garantizar un único efecto lógico.

Criterios de aceptación:
- Mensaje expirado se rechaza.
- Replay inválido se rechaza.
- Duplicado compatible reutiliza resultado lógico.
- Duplicado contradictorio se marca para revisión/fallo seguro.

Pruebas TDD:
- Tests duplicado compatible/contradictorio.
- Test expiración.
- Test replay.

Dependencias:
M5.1-M5.2.",Highest,lcia-m5-protocol-coverage
M5.4 — Añadir backpressure y capacidad del gateway,Task,41,37,"Objetivo:
Evitar que remoto asigne trabajo por encima de la capacidad declarada/permitida del gateway.

Criterios de aceptación:
- Gateway comunica capacidad disponible.
- Remoto deja de asignar cuando se alcanza.
- No se crean colas locales ilimitadas.
- La capacidad no cambia permisos ni cobertura esperada.

Pruebas TDD:
- Tests de capacidad 0/1/N.
- Integration test de saturación controlada.

Dependencias:
M5.2.",Medium,lcia-m5-protocol-coverage
M5.5 — Ejecutar fan-out paralelo a gateways esperados,Story,42,37,"Objetivo:
Distribuir una búsqueda a todos los gateways autorizados del ámbito congelado.

Criterios de aceptación:
- Cobertura esperada se fija antes del fan-out.
- No se reduce por desconexión.
- Las contribuciones se correlacionan por gateway.
- Resultados cross-tenant se rechazan.

Pruebas TDD:
- Tests fan-out 2+ gateways.
- Test gateway ausente.
- Test contribución de gateway no esperado.

Dependencias:
M3.5, M5.1-M5.3.",Highest,lcia-m5-protocol-coverage
M5.6 — Consolidar cobertura COMPLETE/PARTIAL,Task,43,37,"Objetivo:
Aplicar de forma determinista las reglas de cobertura del MVP.

Criterios de aceptación:
- COMPLETE solo si todos los gateways esperados completan válidamente.
- Cualquier ausencia produce PARTIAL.
- PARTIAL nunca produce NOT_LOCATED_IN_SCOPE.
- Gateway obligatorio ausente prevalece y escala.

Pruebas TDD:
- Caracterizar/migrar escenarios sintéticos de cobertura.
- Tests COMPLETE sin candidatos.
- Tests PARTIAL con/sin candidatos.
- Test required gateway absent.

Dependencias:
M5.5 y M0.2.",Highest,lcia-m5-protocol-coverage
M5.7 — Administrar obligatoriedad de fuente/gateway,Task,44,37,"Objetivo:
Representar la configuración obligatoria/opcional sin permitir que usuario o modelo la alteren durante una consulta.

Criterios de aceptación:
- Toda fuente es obligatoria por defecto.
- Solo configuración administrativa puede marcar opcional.
- Cambio queda persistido/auditado.
- La operación usa la configuración congelada al iniciarse.

Pruebas TDD:
- Unit tests default required.
- Test cambio administrativo.
- Test usuario no puede rebajar obligatoriedad.

Dependencias:
M3.4 y M5.6.",Medium,lcia-m5-protocol-coverage
M5.8 — Implementar cancelación y reintentos acotados,Task,45,37,"Objetivo:
Permitir terminar operaciones pendientes sin bucles indefinidos ni efectos duplicados.

Criterios de aceptación:
- Cancelación es observable.
- Reintentos tienen límite/política explícita.
- Cancelar no borra evidencia operativa necesaria.
- Una operación cancelada no se presenta como cero resultados.

Pruebas TDD:
- Tests cancel before/after ACK.
- Test retry limit.
- Test cancel con gateway desconectado.

Dependencias:
M5.2-M5.3.",Medium,lcia-m5-protocol-coverage
M5.9 — Suite E2E de fallos distribuidos,Story,46,37,"Objetivo:
Demostrar los escenarios de red críticos del MVP con varios gateways.

Criterios de aceptación:
- Se cubren desconexión, timeout, duplicado, gateway obligatorio ausente y opcional ausente.
- La cobertura final coincide con el contrato.
- No hay falso negativo universal.
- La traza es determinista y minimizada.

Pruebas TDD:
- E2E matrix para escenarios críticos.
- Verificar orden/traza estable.
- Test no leakage entre tenants.

Dependencias:
M5.5-M5.8.",Highest,lcia-m5-protocol-coverage
M6 — Extracción e indexación de contenido local,Epic,47,,"Objetivo:
Enriquecer el índice local con texto extraído y OCR sin trasladar contenido al remoto ni ejecutar contenido activo.

Gate de salida:
PDF/DOCX/XLSX e imágenes/PDF escaneados se indexan localmente con límites; fallos aislados no corrompen la fuente; búsqueda remota sigue recibiendo solo señales/metadatos mínimos.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",High,lcia-m6-extraction-ocr
M6.1 — Definir puerto de extracción documental,Task,48,47,"Objetivo:
Separar detección de formato, extracción y OCR del ciclo de indexación.

Criterios de aceptación:
- Contrato tipado informa formato, texto/metadatos locales, OCR aplicado, warnings y fallo parcial.
- No depende del motor concreto.
- Resultados no autorizan ni publican remotamente contenido.

Pruebas TDD:
- Contract tests del extractor.
- Test formato no soportado.
- Test fallo parcial.

Dependencias:
M2.3.",High,lcia-m6-extraction-ocr
M6.2 — Extraer texto de PDF con texto seleccionable,Story,49,47,"Objetivo:
Indexar localmente el contenido textual de PDFs no escaneados.

Criterios de aceptación:
- Texto queda local.
- Se respetan límites de páginas/tamaño/tiempo configurados.
- PDF corrupto falla por documento.
- No se publica una entrada parcial como versión válida sin indicarlo.

Pruebas TDD:
- Fixtures PDF válidos/corruptos/grandes.
- Integration test índice→búsqueda.

Dependencias:
M6.1 y M2.4.",High,lcia-m6-extraction-ocr
M6.3 — Extraer DOCX de forma segura,Story,50,47,"Objetivo:
Indexar texto y metadatos permitidos de DOCX tratándolo como contenedor potencialmente hostil.

Criterios de aceptación:
- No se ejecuta contenido activo.
- Se aplican límites de descompresión/lectura.
- Un DOCX hostil no bloquea la fuente.
- Texto permanece local.

Pruebas TDD:
- Fixtures DOCX válido/corrupto/zip-bomb simulado o límite equivalente.
- Integration test búsqueda.

Dependencias:
M6.1.",Medium,lcia-m6-extraction-ocr
M6.4 — Extraer XLSX visible sin recalcular,Story,51,47,"Objetivo:
Indexar nombres de hojas visibles, valores visibles y metadatos permitidos.

Criterios de aceptación:
- No se indexan hojas ocultas.
- No se ejecutan macros.
- No se recalculan fórmulas.
- Solo se usan valores ya almacenados/visibles.
- Se aplican límites de hojas/celdas/tamaño.

Pruebas TDD:
- Fixtures con fórmulas, hojas ocultas y macros.
- Test valores visibles.
- Test límites.

Dependencias:
M6.1.",Medium,lcia-m6-extraction-ocr
